Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
CDCA8,ENSG00000134690.10,9.78,0.97,2.452,1.38e-215
CDCP1,ENSG00000163814.7,11.82,3.78,1.423,5.8e-92
CDH1,ENSG00000039068.18,121.996,36.091,1.729,3.6699999999999996e-67
CDH11,ENSG00000140937.13,41.969,13.73,1.545,4.36e-48
CDK1,ENSG00000170312.15,27.889,3.03,2.842,1.21e-238
CDK5,ENSG00000164885.12,19.35,6.32,1.475,1.67e-238
CDKN2A,ENSG00000147889.16,10.83,3.04,1.55,1.85e-76
CDKN3,ENSG00000100526.19,17.99,2.0,2.662,3.67e-225
CDS1,ENSG00000163624.5,15.85,4.18,1.702,2.9099999999999997e-141
CDT1,ENSG00000167513.8,6.54,0.82,2.051,1.48e-159
CEACAM5,ENSG00000105388.14,2.4,0.14,1.576,5.3799999999999996e-45
CEACAM6,ENSG00000086548.8,11.94,0.5,3.109,5.83e-67
CELSR1,ENSG00000075275.16,40.09,8.89,2.055,6.88e-93
CENPA,ENSG00000115163.14,6.98,0.78,2.164,5.91e-155
CENPE,ENSG00000138778.11,2.66,0.33,1.46,1.2e-137
CENPF,ENSG00000117724.12,33.4,1.35,3.872,3.8599999999999994e-285
CENPH,ENSG00000153044.9,10.58,4.17,1.163,3.18e-121
CENPI,ENSG00000102384.13,2.6,0.44,1.322,8.76e-120
CENPK,ENSG00000123219.12,5.1,1.3,1.407,6.44e-122
CENPL,ENSG00000120334.15,6.76,2.32,1.225,6.469999999999999e-134
CENPM,ENSG00000100162.14,11.53,1.17,2.53,1.3400000000000002e-247
CENPN,ENSG00000166451.13,10.41,3.06,1.491,2.26e-111
CENPP,ENSG00000188312.13,5.97,2.28,1.087,5.2899999999999995e-84
CENPU,ENSG00000151725.11,17.701,2.62,2.369,1.41e-214
CENPW,ENSG00000203760.8,15.18,6.95,1.025,2.26e-63
CEP55,ENSG00000138180.15,8.66,0.4,2.787,6.229999999999999e-228
CERS2,ENSG00000143418.19,331.254,116.033,1.505,8.77e-123
CERS4,ENSG00000090661.11,69.85,32.57,1.078,6.9199999999999994e-40
CERS6,ENSG00000172292.14,29.681,7.44,1.862,9.97e-85
CERS6-AS1,ENSG00000227617.8,28.699,8.19,1.692,7.599999999999999e-54
CETN2,ENSG00000147400.8,74.202,33.611,1.12,2.12e-149
CFB,ENSG00000243649.8,220.433,44.901,2.27,1.2200000000000001e-47
CFL1,ENSG00000172757.12,1034.414,500.559,1.046,1.72e-194
CH507-513H4.5,ENSG00000281383.1,4.71,0.76,1.698,8.36e-53
CHAF1B,ENSG00000159259.7,5.57,1.93,1.165,5.790000000000001e-123
CHEK1,ENSG00000149554.12,7.41,1.86,1.556,2.1e-141
CHPF,ENSG00000123989.13,61.01,23.119,1.362,5.8e-144
CIB1,ENSG00000185043.10,124.404,61.341,1.008,7.1399999999999995e-93
CILP2,ENSG00000160161.9,3.27,0.39,1.619,5.91e-118
CISD2,ENSG00000145354.9,22.62,10.44,1.046,1.3799999999999999e-139
CKAP2,ENSG00000136108.14,13.85,3.45,1.739,1.04e-157
CKAP2L,ENSG00000169607.12,3.26,0.18,1.852,1.94e-166
CKAP4,ENSG00000136026.13,59.581,21.891,1.404,9.73e-164
CKAP5,ENSG00000175216.14,50.751,21.8,1.183,1.11e-79
CKMT1A,ENSG00000223572.9,11.22,3.27,1.517,1.0800000000000001e-44
CKMT1B,ENSG00000237289.9,11.06,3.93,1.291,4.89e-38
CKS2,ENSG00000123975.4,85.129,9.38,3.053,4.09e-320
CLCN3,ENSG00000109572.13,28.359,12.99,1.069,3.37e-32
CLDN3,ENSG00000165215.6,63.201,27.161,1.189,6.58e-70
CLDN7,ENSG00000181885.18,104.372,39.45,1.381,2.32e-114
CLEC5A,ENSG00000258227.6,2.04,0.31,1.215,4.77e-87
CLGN,ENSG00000153132.12,4.89,0.52,1.954,3.65e-62
CLPSL1,ENSG00000204140.9,2.33,0.29,1.368,1.07e-44
CLPSL2,ENSG00000196748.9,3.43,0.23,1.849,1.59e-78
CLSPN,ENSG00000092853.13,2.45,0.22,1.5,3.0999999999999995e-126
CLTC,ENSG00000141367.11,193.326,85.171,1.173,5.06e-106
CMBL,ENSG00000164237.8,43.501,14.89,1.486,3.1900000000000003e-32
CNIH2,ENSG00000174871.10,3.65,0.7,1.452,6.990000000000001e-110
CNTD2,ENSG00000105219.8,3.06,0.71,1.247,2.09e-51
CNTNAP2,ENSG00000174469.17,2.82,0.05,1.863,3.4599999999999997e-69
COA6,ENSG00000168275.14,50.681,20.48,1.267,4.1400000000000005e-194
COL10A1,ENSG00000123500.9,67.461,0.12,5.934,7.31e-269
COL11A1,ENSG00000060718.18,37.131,0.5,4.668,9.110000000000001e-185
COL1A1,ENSG00000108821.13,1055.93,146.017,2.846,4.89e-113
COL1A2,ENSG00000164692.17,1190.456,327.669,1.858,1.39e-55
COL3A1,ENSG00000168542.12,822.23,167.648,2.287,5.96e-72
COL5A1,ENSG00000130635.15,75.311,23.33,1.649,4.56e-59
COL5A2,ENSG00000204262.11,77.181,23.39,1.681,3.7900000000000005e-58
COL8A1,ENSG00000144810.15,20.75,5.39,1.767,1.95e-57
COMP,ENSG00000105664.10,44.47,3.32,3.396,9.040000000000001e-123
COPA,ENSG00000122218.14,124.94,51.47,1.263,2.39e-102
COPB2,ENSG00000184432.9,126.167,54.59,1.194,6.61e-119
COPZ1,ENSG00000111481.9,189.203,83.193,1.176,8.07e-152
CORO2A,ENSG00000106789.12,11.36,2.89,1.668,7.41e-111
COX20,ENSG00000203667.9,67.512,32.19,1.046,7.34e-135
COX6C,ENSG00000164919.10,1032.48,267.074,1.947,8.1e-109
CPSF2,ENSG00000165934.12,22.67,10.58,1.031,9.32e-52
CRABP2,ENSG00000143320.8,604.29,89.541,2.741,7.18e-115
CRB3,ENSG00000130545.15,23.169,5.85,1.819,9.830000000000001e-213
CREB3L1,ENSG00000157613.10,29.26,7.71,1.797,1.3999999999999998e-68
CREB3L4,ENSG00000143578.15,108.811,30.199,1.815,4.55e-109
CRIP1,ENSG00000213145.9,888.42,149.178,2.566,6.15e-73
CRNKL1,ENSG00000101343.14,33.529,15.47,1.068,5.37e-135
CSE1L,ENSG00000124207.16,56.79,23.779,1.222,6.1e-134
CST1,ENSG00000170373.8,15.49,0.0,4.044,3.34e-109
CST2,ENSG00000170369.3,2.68,0.0,1.88,2.36e-83
CST6,ENSG00000175315.2,3.25,0.94,1.131,5.87e-45
CSTF2,ENSG00000101811.13,13.75,5.91,1.094,3.63e-138
CTA-384D8.35,ENSG00000272666.1,2.64,0.42,1.358,4.23e-69
CTB-191K22.5,ENSG00000267815.1,12.84,3.85,1.513,7.09e-44
CTB-55O6.8,ENSG00000141854.7,9.34,3.93,1.069,4.13e-49
CTC-425F1.4,ENSG00000267458.1,5.24,1.93,1.091,9.39e-14
CTC-510F12.6,ENSG00000267576.1,25.181,6.81,1.745,1.96e-93
CTD-2015H6.3,ENSG00000249042.5,14.45,3.89,1.66,5.69e-132
CTD-2033D15.1,ENSG00000259279.1,2.58,0.5,1.255,1.7e-33
CTD-2224J9.4,ENSG00000241434.1,4.93,0.0,2.568,1.3800000000000001e-22
CTD-2231E14.8,ENSG00000269243.1,45.851,19.77,1.174,7.98e-237
CTD-2396E7.11,ENSG00000275234.1,21.55,5.41,1.815,1.41e-182
