,,,,,
AC053503.12,ENSG00000280323.1,0.010,3.458,-2.142,8.47e-43
AC093627.10,ENSG00000240859.1,0.290,2.605,-1.483,5.79e-17
AC098614.2,ENSG00000213846.4,0.985,3.069,-1.036,1.64e-12
AC098973.2,ENSG00000225548.5,7.429,0.000,3.075,3.30e-5
AC104534.3,ENSG00000268083.5,8.890,0.221,3.018,3.77e-6
AC110615.1,ENSG00000279909.1,4.475,0.145,2.258,3.54e-7
AC124789.1,ENSG00000276170.4,23.905,8.384,1.408,6.94e-3
AC145124.2,ENSG00000255495.1,0.540,3.349,-1.498,1.12e-29
AC156455.1,ENSG00000256546.1,0.705,3.255,-1.319,2.04e-8
AC239868.2,ENSG00000280874.1,35.690,0.000,5.197,3.07e-19
AC239868.3,ENSG00000281134.1,35.626,0.000,5.195,8.03e-19
ACACB,ENSG00000076555.15,1.510,23.227,-3.271,3.02e-45
ACADSB,ENSG00000196177.12,3.710,8.935,-1.077,2.39e-8
ACKR1,ENSG00000213088.9,3.635,53.288,-3.550,1.22e-20
ACKR3,ENSG00000144476.5,21.229,56.648,-1.375,4.47e-5
ACKR4,ENSG00000129048.6,0.640,3.400,-1.424,1.54e-7
ACOX2,ENSG00000168306.12,1.070,12.331,-2.687,1.97e-31
ACSS3,ENSG00000111058.7,0.510,3.160,-1.462,5.34e-8
ACTA2,ENSG00000107796.12,138.942,1908.005,-3.770,8.12e-21
ACTA2-AS1,ENSG00000180139.11,0.450,20.360,-3.881,1.86e-44
ACTC1,ENSG00000159251.6,0.425,228.136,-7.329,3.47e-23
ACTG2,ENSG00000163017.13,29.733,1316.919,-5.422,4.77e-22
ACTL6A,ENSG00000136518.16,54.660,23.955,1.157,5.44e-18
ACTN1,ENSG00000072110.13,81.925,176.577,-1.099,2.42e-7
ACVRL1,ENSG00000139567.12,4.860,16.278,-1.560,2.06e-14
ADAM28,ENSG00000042980.12,2.330,6.601,-1.191,2.65e-3
ADAM33,ENSG00000149451.17,0.725,28.715,-4.107,4.68e-52
ADAM8,ENSG00000151651.15,20.150,8.930,1.091,1.12e-6
ADAMTS1,ENSG00000154734.14,7.210,104.672,-3.686,1.86e-33
