gene,cancer_type
ANKRD28,KIRC
ANKRD30A,KIRC
ANKRD31,KIRC
ANKRD32,KIRC
ANKRD34B,KIRC
ANKRD34C,KIRC
ANKRD36,KIRC
ANKRD40,KIRC
ANKRD42,KIRC
ANKRD49,KIRC
ANKRD50,KIRC
ANKRD52,KIRC
ANKRD54,KIRC
ANKRD6,KIRC
ANKRD65,KIRC
ANKRD7,KIRC
ANLN,KIRC
ANO1,KIRC
ANO3,KIRC
ANP32A,KIRC
ANP32B,KIRC
ANP32E,KIRC
ANTXR1,KIRC
ANTXR2,KIRC
ANTXRL,KIRC
ANXA1,KIRC
ANXA10,KIRC
ANXA13,KIRC
ANXA2,KIRC
ANXA2R,KIRC
ANXA3,KIRC
ANXA8,KIRC
ANXA8L2,KIRC
AOAH,KIRC
AP1AR,KIRC
AP1B1,KIRC
AP1G1,KIRC
AP1M2,KIRC
AP1S2,KIRC
AP2A1,KIRC
AP2B1,KIRC
AP2M1,KIRC
AP2S1,KIRC
AP3B1,KIRC
AP3M1,KIRC
AP3M2,KIRC
AP3S1,KIRC
AP4S1,KIRC
AP5M1,KIRC
APBA1,KIRC
APBA2,KIRC
APBB1IP,KIRC
APC,KIRC
APC2,KIRC
APCS,KIRC
APEX1,KIRC
APEX2,KIRC
APH1A,KIRC
APH1B,KIRC
API5,KIRC
APIP,KIRC
APITD1,KIRC
APITD1-CORT,KIRC
APLP1,KIRC
APLP2,KIRC
APMAP,KIRC
APOBEC3A,KIRC
APOBEC3D,KIRC
APOBEC4,KIRC
APOC2,KIRC
APOE,KIRC
APOH,KIRC
APOL2,KIRC
APOOL,KIRC
APPBP2,KIRC
APPL2,KIRC
APRT,KIRC
APTX,KIRC
AQP1,KIRC
AQP10,KIRC
AQP12B,KIRC
AQP7,KIRC
AQP9,KIRC
AQR,KIRC
AR,KIRC
ARAP1,KIRC
ARAP2,KIRC
ARCN1,KIRC
ARF1,KIRC
ARF3,KIRC
ARF4,KIRC
ARF6,KIRC
ARFGAP1,KIRC
ARFGEF1,KIRC
ARFIP1,KIRC
ARFRP1,KIRC
ARGLU1,KIRC
ARHGAP1,KIRC
ARHGAP11A,KIRC
ARHGAP11B,KIRC
ARHGAP19,KIRC
ARHGAP21,KIRC
ARHGAP24,KIRC
ARHGAP26,KIRC
ARHGAP29,KIRC
ARHGAP30,KIRC
ARHGAP35,KIRC
ARHGAP5,KIRC
ARHGAP6,KIRC
ARHGAP8,KIRC
ARHGDIB,KIRC
ARHGEF11,KIRC
ARHGEF12,KIRC
ARHGEF2,KIRC
ARHGEF25,KIRC
ARHGEF3,KIRC
ARHGEF33,KIRC
ARHGEF35,KIRC
ARHGEF38,KIRC
ARHGEF5,KIRC
ARHGEF7,KIRC
ARHGEF9,KIRC
ARID1A,KIRC
ARID1B,KIRC
ARID2,KIRC
ARID3A,KIRC
ARID3B,KIRC
ARID4A,KIRC
ARID4B,KIRC
ARID5A,KIRC
ARIH1,KIRC
ARIH2,KIRC
ARL1,KIRC
ARL10,KIRC
ARL11,KIRC
ARL13B,KIRC
ARL14,KIRC
ARL14EP,KIRC
ARL14EPL,KIRC
ARL15,KIRC
ARL2,KIRC
ARL2BP,KIRC
ARL3,KIRC
ARL4A,KIRC
ARL5A,KIRC
ARL5B,KIRC
ARL6IP1,KIRC
ARL6IP6,KIRC
ARL8B,KIRC
ARMC1,KIRC
ARMC10,KIRC
ARMC2,KIRC
ARMC5,KIRC
ARMC7,KIRC
