gene,cancer_type
ANXA13,LGG
ANXA2,LGG
ANXA2R,LGG
ANXA3,LGG
ANXA8,LGG
ANXA8L2,LGG
AOAH,LGG
AP1AR,LGG
AP1B1,LGG
AP1G1,LGG
AP1M2,LGG
AP1S2,LGG
AP2A1,LGG
AP2B1,LGG
AP2M1,LGG
AP2S1,LGG
AP3B1,LGG
AP3M1,LGG
AP3M2,LGG
AP3S1,LGG
AP4S1,LGG
AP5M1,LGG
APBA1,LGG
APBA2,LGG
APBB1IP,LGG
APC,LGG
APC2,LGG
APCS,LGG
APEX1,LGG
APEX2,LGG
APH1A,LGG
APH1B,LGG
API5,LGG
APIP,LGG
APITD1,LGG
APITD1-CORT,LGG
APLP1,LGG
APLP2,LGG
APMAP,LGG
APOBEC3A,LGG
APOBEC3D,LGG
APOBEC4,LGG
APOC2,LGG
APOE,LGG
APOH,LGG
APOL2,LGG
APOOL,LGG
APPBP2,LGG
APPL2,LGG
APRT,LGG
APTX,LGG
AQP1,LGG
AQP10,LGG
AQP12B,LGG
AQP7,LGG
AQP9,LGG
AQR,LGG
AR,LGG
ARAP1,LGG
ARAP2,LGG
ARCN1,LGG
ARF1,LGG
ARF3,LGG
ARF4,LGG
ARF6,LGG
ARFGAP1,LGG
ARFGEF1,LGG
ARFIP1,LGG
ARFRP1,LGG
ARGLU1,LGG
ARHGAP1,LGG
ARHGAP11A,LGG
ARHGAP11B,LGG
ARHGAP19,LGG
ARHGAP21,LGG
ARHGAP24,LGG
ARHGAP26,LGG
ARHGAP29,LGG
ARHGAP30,LGG
ARHGAP35,LGG
ARHGAP5,LGG
ARHGAP6,LGG
ARHGAP8,LGG
ARHGDIB,LGG
ARHGEF11,LGG
ARHGEF12,LGG
ARHGEF2,LGG
ARHGEF25,LGG
ARHGEF3,LGG
ARHGEF33,LGG
ARHGEF35,LGG
ARHGEF38,LGG
ARHGEF5,LGG
ARHGEF7,LGG
ARHGEF9,LGG
ARID1A,LGG
ARID1B,LGG
ARID2,LGG
ARID3A,LGG
ARID3B,LGG
ARID4A,LGG
ARID4B,LGG
ARID5A,LGG
ARIH1,LGG
ARIH2,LGG
ARL1,LGG
ARL10,LGG
ARL11,LGG
ARL13B,LGG
ARL14,LGG
ARL14EP,LGG
ARL14EPL,LGG
ARL15,LGG
ARL2,LGG
ARL2BP,LGG
ARL3,LGG
ARL4A,LGG
ARL5A,LGG
ARL5B,LGG
ARL6IP1,LGG
ARL6IP6,LGG
ARL8B,LGG
ARMC1,LGG
ARMC10,LGG
ARMC2,LGG
ARMC5,LGG
ARMC7,LGG
ARMC9,LGG
ARMCX1,LGG
ARMCX3,LGG
ARMCX5,LGG
ARMCX6,LGG
ARNT,LGG
ARNTL,LGG
ARPC1A,LGG
ARPC2,LGG
ARPC3,LGG
ARPC4,LGG
ARPC5,LGG
ARPP19,LGG
ARRB1,LGG
ARRB2,LGG
ARRDC4,LGG
ARSB,LGG
ARSK,LGG
ART3,LGG
ARTN,LGG
ARV1,LGG
AS3MT,LGG
ASAH1,LGG
ASB17,LGG
ASB3,LGG
ASB6,LGG
ASB7,LGG
ASCC1,LGG
ASCC3,LGG
ASCL1,LGG
ASCL2,LGG
ASF1A,LGG
ASF1B,LGG
ASH2L,LGG
ASIC1,LGG
ASIP,LGG
