gene,cancer_type
ANXA13,SARC
ANXA2,SARC
ANXA2R,SARC
ANXA3,SARC
ANXA8,SARC
ANXA8L2,SARC
AOAH,SARC
AP1AR,SARC
AP1B1,SARC
AP1G1,SARC
AP1M2,SARC
AP1S2,SARC
AP2A1,SARC
AP2B1,SARC
AP2M1,SARC
AP2S1,SARC
AP3B1,SARC
AP3M1,SARC
AP3M2,SARC
AP3S1,SARC
AP4S1,SARC
AP5M1,SARC
APBA1,SARC
APBA2,SARC
APBB1IP,SARC
APC,SARC
APC2,SARC
APCS,SARC
APEX1,SARC
APEX2,SARC
APH1A,SARC
APH1B,SARC
API5,SARC
APIP,SARC
APITD1,SARC
APITD1-CORT,SARC
APLP1,SARC
APLP2,SARC
APMAP,SARC
APOBEC3A,SARC
APOBEC3D,SARC
APOBEC4,SARC
APOC2,SARC
APOE,SARC
APOH,SARC
APOL2,SARC
APOOL,SARC
APPBP2,SARC
APPL2,SARC
APRT,SARC
APTX,SARC
AQP1,SARC
AQP10,SARC
AQP12B,SARC
AQP7,SARC
AQP9,SARC
AQR,SARC
AR,SARC
ARAP1,SARC
ARAP2,SARC
ARCN1,SARC
ARF1,SARC
ARF3,SARC
ARF4,SARC
ARF6,SARC
ARFGAP1,SARC
ARFGEF1,SARC
ARFIP1,SARC
ARFRP1,SARC
ARGLU1,SARC
ARHGAP1,SARC
ARHGAP11A,SARC
ARHGAP11B,SARC
ARHGAP19,SARC
ARHGAP21,SARC
ARHGAP24,SARC
ARHGAP26,SARC
ARHGAP29,SARC
ARHGAP30,SARC
ARHGAP35,SARC
ARHGAP5,SARC
ARHGAP6,SARC
ARHGAP8,SARC
ARHGDIB,SARC
ARHGEF11,SARC
ARHGEF12,SARC
ARHGEF2,SARC
ARHGEF25,SARC
ARHGEF3,SARC
ARHGEF33,SARC
ARHGEF35,SARC
ARHGEF38,SARC
ARHGEF5,SARC
ARHGEF7,SARC
ARHGEF9,SARC
ARID1A,SARC
ARID1B,SARC
ARID2,SARC
ARID3A,SARC
ARID3B,SARC
ARID4A,SARC
ARID4B,SARC
ARID5A,SARC
ARIH1,SARC
ARIH2,SARC
ARL1,SARC
ARL10,SARC
ARL11,SARC
ARL13B,SARC
ARL14,SARC
ARL14EP,SARC
ARL14EPL,SARC
ARL15,SARC
ARL2,SARC
ARL2BP,SARC
ARL3,SARC
ARL4A,SARC
ARL5A,SARC
ARL5B,SARC
ARL6IP1,SARC
ARL6IP6,SARC
ARL8B,SARC
ARMC1,SARC
ARMC10,SARC
ARMC2,SARC
ARMC5,SARC
ARMC7,SARC
ARMC9,SARC
ARMCX1,SARC
ARMCX3,SARC
ARMCX5,SARC
ARMCX6,SARC
ARNT,SARC
ARNTL,SARC
ARPC1A,SARC
ARPC2,SARC
ARPC3,SARC
ARPC4,SARC
ARPC5,SARC
ARPP19,SARC
ARRB1,SARC
ARRB2,SARC
ARRDC4,SARC
ARSB,SARC
ARSK,SARC
ART3,SARC
ARTN,SARC
ARV1,SARC
AS3MT,SARC
ASAH1,SARC
ASB17,SARC
ASB3,SARC
ASB6,SARC
ASB7,SARC
ASCC1,SARC
ASCC3,SARC
ASCL1,SARC
ASCL2,SARC
ASF1A,SARC
ASF1B,SARC
ASH2L,SARC
ASIC1,SARC
ASIP,SARC
ASMT,SARC
ASNA1,SARC
ASNS,SARC
ASNSD1,SARC
ASPDH,SARC
ASPHD2,SARC
ASPM,SARC
ASTL,SARC
ASUN,SARC
ASXL3,SARC
ATAD1,SARC
ATAD2,SARC
ATAD3A,SARC
ATAD5,SARC
ATAT1,SARC
ATF1,SARC
ATF2,SARC
ATF4,SARC
ATF5,SARC
ATF6,SARC
ATF7,SARC
ATF7IP,SARC
ATG10,SARC
ATG12,SARC
ATG13,SARC
ATG14,SARC
ATG2B,SARC
ATG3,SARC
ATG4C,SARC
ATG5,SARC
ATG9A,SARC
ATHL1,SARC
ATIC,SARC
ATL1,SARC
ATL2,SARC
ATL3,SARC
ATM,SARC
ATMIN,SARC
ATOH1,SARC
ATOX1,SARC
ATP10A,SARC
ATP10D,SARC
ATP11B,SARC
ATP11C,SARC
ATP13A1,SARC
ATP1A1,SARC
ATP1B1,SARC
ATP1B3,SARC
ATP2A2,SARC
ATP2B1,SARC
ATP2B4,SARC
ATP2C1,SARC
ATP5A1,SARC
ATP5B,SARC
ATP5C1,SARC
ATP5D,SARC
ATP5F1,SARC
ATP5G1,SARC
ATP5G2,SARC
ATP5H,SARC
ATP5I,SARC
ATP5J,SARC
ATP5J2,SARC
ATP5J2-PTCD1,SARC
ATP5L,SARC
ATP5L2,SARC
ATP5O,SARC
ATP5SL,SARC
ATP6AP1,SARC
ATP6AP1L,SARC
ATP6AP2,SARC
ATP6V0A1,SARC
ATP6V0B,SARC
