gene,cancer_type
ANKRD28,PAAD
ANKRD30A,PAAD
ANKRD31,PAAD
ANKRD32,PAAD
ANKRD34B,PAAD
ANKRD34C,PAAD
ANKRD36,PAAD
ANKRD40,PAAD
ANKRD42,PAAD
ANKRD49,PAAD
ANKRD50,PAAD
ANKRD52,PAAD
ANKRD54,PAAD
ANKRD6,PAAD
ANKRD65,PAAD
ANKRD7,PAAD
ANLN,PAAD
ANO1,PAAD
ANO3,PAAD
ANP32A,PAAD
ANP32B,PAAD
ANP32E,PAAD
ANTXR1,PAAD
ANTXR2,PAAD
ANTXRL,PAAD
ANXA1,PAAD
ANXA10,PAAD
ANXA13,PAAD
ANXA2,PAAD
ANXA2R,PAAD
ANXA3,PAAD
ANXA8,PAAD
ANXA8L2,PAAD
AOAH,PAAD
AP1AR,PAAD
AP1B1,PAAD
AP1G1,PAAD
AP1M2,PAAD
AP1S2,PAAD
AP2A1,PAAD
AP2B1,PAAD
AP2M1,PAAD
AP2S1,PAAD
AP3B1,PAAD
AP3M1,PAAD
AP3M2,PAAD
AP3S1,PAAD
AP4S1,PAAD
AP5M1,PAAD
APBA1,PAAD
APBA2,PAAD
APBB1IP,PAAD
APC,PAAD
APC2,PAAD
APCS,PAAD
APEX1,PAAD
APEX2,PAAD
APH1A,PAAD
APH1B,PAAD
API5,PAAD
APIP,PAAD
APITD1,PAAD
APITD1-CORT,PAAD
APLP1,PAAD
APLP2,PAAD
APMAP,PAAD
APOBEC3A,PAAD
APOBEC3D,PAAD
APOBEC4,PAAD
APOC2,PAAD
APOE,PAAD
APOH,PAAD
APOL2,PAAD
APOOL,PAAD
APPBP2,PAAD
APPL2,PAAD
APRT,PAAD
APTX,PAAD
AQP1,PAAD
AQP10,PAAD
AQP12B,PAAD
AQP7,PAAD
AQP9,PAAD
AQR,PAAD
AR,PAAD
ARAP1,PAAD
ARAP2,PAAD
ARCN1,PAAD
ARF1,PAAD
ARF3,PAAD
ARF4,PAAD
ARF6,PAAD
ARFGAP1,PAAD
ARFGEF1,PAAD
ARFIP1,PAAD
ARFRP1,PAAD
ARGLU1,PAAD
ARHGAP1,PAAD
ARHGAP11A,PAAD
ARHGAP11B,PAAD
ARHGAP19,PAAD
ARHGAP21,PAAD
ARHGAP24,PAAD
ARHGAP26,PAAD
ARHGAP29,PAAD
ARHGAP30,PAAD
ARHGAP35,PAAD
ARHGAP5,PAAD
ARHGAP6,PAAD
ARHGAP8,PAAD
ARHGDIB,PAAD
ARHGEF11,PAAD
ARHGEF12,PAAD
ARHGEF2,PAAD
ARHGEF25,PAAD
ARHGEF3,PAAD
ARHGEF33,PAAD
ARHGEF35,PAAD
ARHGEF38,PAAD
ARHGEF5,PAAD
ARHGEF7,PAAD
ARHGEF9,PAAD
ARID1A,PAAD
ARID1B,PAAD
ARID2,PAAD
ARID3A,PAAD
ARID3B,PAAD
ARID4A,PAAD
ARID4B,PAAD
ARID5A,PAAD
ARIH1,PAAD
ARIH2,PAAD
ARL1,PAAD
ARL10,PAAD
ARL11,PAAD
ARL13B,PAAD
ARL14,PAAD
ARL14EP,PAAD
ARL14EPL,PAAD
ARL15,PAAD
ARL2,PAAD
ARL2BP,PAAD
ARL3,PAAD
ARL4A,PAAD
ARL5A,PAAD
ARL5B,PAAD
ARL6IP1,PAAD
ARL6IP6,PAAD
ARL8B,PAAD
ARMC1,PAAD
ARMC10,PAAD
ARMC2,PAAD
ARMC5,PAAD
ARMC7,PAAD
ARMC9,PAAD
ARMCX1,PAAD
ARMCX3,PAAD
ARMCX5,PAAD
ARMCX6,PAAD
ARNT,PAAD
ARNTL,PAAD
ARPC1A,PAAD
ARPC2,PAAD
