gene,cancer_type
ANXA13,GBM
ANXA2,GBM
ANXA2R,GBM
ANXA3,GBM
ANXA8,GBM
ANXA8L2,GBM
AOAH,GBM
AP1AR,GBM
AP1B1,GBM
AP1G1,GBM
AP1M2,GBM
AP1S2,GBM
AP2A1,GBM
AP2B1,GBM
AP2M1,GBM
AP2S1,GBM
AP3B1,GBM
AP3M1,GBM
AP3M2,GBM
AP3S1,GBM
AP4S1,GBM
AP5M1,GBM
APBA1,GBM
APBA2,GBM
APBB1IP,GBM
APC,GBM
APC2,GBM
APCS,GBM
APEX1,GBM
APEX2,GBM
APH1A,GBM
APH1B,GBM
API5,GBM
APIP,GBM
APITD1,GBM
APITD1-CORT,GBM
APLP1,GBM
APLP2,GBM
APMAP,GBM
APOBEC3A,GBM
APOBEC3D,GBM
APOBEC4,GBM
APOC2,GBM
APOE,GBM
APOH,GBM
APOL2,GBM
APOOL,GBM
APPBP2,GBM
APPL2,GBM
APRT,GBM
APTX,GBM
AQP1,GBM
AQP10,GBM
AQP12B,GBM
AQP7,GBM
AQP9,GBM
AQR,GBM
AR,GBM
ARAP1,GBM
ARAP2,GBM
ARCN1,GBM
ARF1,GBM
ARF3,GBM
ARF4,GBM
ARF6,GBM
ARFGAP1,GBM
ARFGEF1,GBM
ARFIP1,GBM
ARFRP1,GBM
ARGLU1,GBM
ARHGAP1,GBM
ARHGAP11A,GBM
ARHGAP11B,GBM
ARHGAP19,GBM
ARHGAP21,GBM
ARHGAP24,GBM
ARHGAP26,GBM
ARHGAP29,GBM
ARHGAP30,GBM
ARHGAP35,GBM
ARHGAP5,GBM
ARHGAP6,GBM
ARHGAP8,GBM
ARHGDIB,GBM
ARHGEF11,GBM
ARHGEF12,GBM
ARHGEF2,GBM
ARHGEF25,GBM
ARHGEF3,GBM
ARHGEF33,GBM
ARHGEF35,GBM
ARHGEF38,GBM
ARHGEF5,GBM
ARHGEF7,GBM
ARHGEF9,GBM
ARID1A,GBM
ARID1B,GBM
ARID2,GBM
ARID3A,GBM
ARID3B,GBM
ARID4A,GBM
ARID4B,GBM
ARID5A,GBM
ARIH1,GBM
ARIH2,GBM
ARL1,GBM
ARL10,GBM
ARL11,GBM
ARL13B,GBM
ARL14,GBM
ARL14EP,GBM
ARL14EPL,GBM
ARL15,GBM
ARL2,GBM
ARL2BP,GBM
ARL3,GBM
ARL4A,GBM
ARL5A,GBM
ARL5B,GBM
ARL6IP1,GBM
ARL6IP6,GBM
ARL8B,GBM
ARMC1,GBM
ARMC10,GBM
ARMC2,GBM
ARMC5,GBM
ARMC7,GBM
ARMC9,GBM
ARMCX1,GBM
ARMCX3,GBM
ARMCX5,GBM
ARMCX6,GBM
ARNT,GBM
ARNTL,GBM
ARPC1A,GBM
ARPC2,GBM
ARPC3,GBM
ARPC4,GBM
ARPC5,GBM
ARPP19,GBM
ARRB1,GBM
ARRB2,GBM
ARRDC4,GBM
ARSB,GBM
ARSK,GBM
ART3,GBM
ARTN,GBM
ARV1,GBM
AS3MT,GBM
ASAH1,GBM
ASB17,GBM
ASB3,GBM
ASB6,GBM
ASB7,GBM
ASCC1,GBM
ASCC3,GBM
ASCL1,GBM
ASCL2,GBM
ASF1A,GBM
ASF1B,GBM
ASH2L,GBM
ASIC1,GBM
ASIP,GBM
ASMT,GBM
ASNA1,GBM
ASNS,GBM
ASNSD1,GBM
ASPDH,GBM
ASPHD2,GBM
ASPM,GBM
ASTL,GBM
ASUN,GBM
ASXL3,GBM
ATAD1,GBM
ATAD2,GBM
ATAD3A,GBM
ATAD5,GBM
ATAT1,GBM
ATF1,GBM
ATF2,GBM
ATF4,GBM
ATF5,GBM
ATF6,GBM
ATF7,GBM
ATF7IP,GBM
ATG10,GBM
ATG12,GBM
ATG13,GBM
ATG14,GBM
ATG2B,GBM
ATG3,GBM
ATG4C,GBM
ATG5,GBM
ATG9A,GBM
ATHL1,GBM
ATIC,GBM
ATL1,GBM
ATL2,GBM
ATL3,GBM
ATM,GBM
ATMIN,GBM
ATOH1,GBM
ATOX1,GBM
ATP10A,GBM
ATP10D,GBM
ATP11B,GBM
ATP11C,GBM
ATP13A1,GBM
ATP1A1,GBM
ATP1B1,GBM
ATP1B3,GBM
ATP2A2,GBM
ATP2B1,GBM
ATP2B4,GBM
ATP2C1,GBM
ATP5A1,GBM
ATP5B,GBM
ATP5C1,GBM
ATP5D,GBM
ATP5F1,GBM
ATP5G1,GBM
ATP5G2,GBM
ATP5H,GBM
ATP5I,GBM
ATP5J,GBM
ATP5J2,GBM
ATP5J2-PTCD1,GBM
ATP5L,GBM
ATP5L2,GBM
ATP5O,GBM
ATP5SL,GBM
ATP6AP1,GBM
ATP6AP1L,GBM
ATP6AP2,GBM
ATP6V0A1,GBM
ATP6V0B,GBM
ATP6V0C,GBM
ATP6V0D1,GBM
ATP6V0D2,GBM
ATP6V0E1,GBM
ATP6V0E2,GBM
ATP6V1A,GBM
ATP6V1B2,GBM
ATP6V1C1,GBM
