gene,cancer_type
ANXA13,MISC
ANXA2,MISC
ANXA2R,MISC
ANXA3,MISC
ANXA8,MISC
ANXA8L2,MISC
AOAH,MISC
AP1AR,MISC
AP1B1,MISC
AP1G1,MISC
AP1M2,MISC
AP1S2,MISC
AP2A1,MISC
AP2B1,MISC
AP2M1,MISC
AP2S1,MISC
AP3B1,MISC
AP3M1,MISC
AP3M2,MISC
AP3S1,MISC
AP4S1,MISC
AP5M1,MISC
APBA1,MISC
APBA2,MISC
APBB1IP,MISC
APC,MISC
APC2,MISC
APCS,MISC
APEX1,MISC
APEX2,MISC
APH1A,MISC
APH1B,MISC
API5,MISC
APIP,MISC
APITD1,MISC
APITD1-CORT,MISC
APLP1,MISC
APLP2,MISC
APMAP,MISC
APOBEC3A,MISC
APOBEC3D,MISC
APOBEC4,MISC
APOC2,MISC
APOE,MISC
APOH,MISC
APOL2,MISC
APOOL,MISC
APPBP2,MISC
APPL2,MISC
APRT,MISC
APTX,MISC
AQP1,MISC
AQP10,MISC
AQP12B,MISC
AQP7,MISC
AQP9,MISC
AQR,MISC
AR,MISC
ARAP1,MISC
ARAP2,MISC
ARCN1,MISC
ARF1,MISC
ARF3,MISC
ARF4,MISC
ARF6,MISC
ARFGAP1,MISC
ARFGEF1,MISC
ARFIP1,MISC
ARFRP1,MISC
ARGLU1,MISC
ARHGAP1,MISC
ARHGAP11A,MISC
ARHGAP11B,MISC
ARHGAP19,MISC
ARHGAP21,MISC
ARHGAP24,MISC
ARHGAP26,MISC
ARHGAP29,MISC
ARHGAP30,MISC
ARHGAP35,MISC
ARHGAP5,MISC
ARHGAP6,MISC
ARHGAP8,MISC
ARHGDIB,MISC
ARHGEF11,MISC
ARHGEF12,MISC
ARHGEF2,MISC
ARHGEF25,MISC
ARHGEF3,MISC
ARHGEF33,MISC
ARHGEF35,MISC
ARHGEF38,MISC
ARHGEF5,MISC
ARHGEF7,MISC
ARHGEF9,MISC
ARID1A,MISC
ARID1B,MISC
ARID2,MISC
ARID3A,MISC
ARID3B,MISC
ARID4A,MISC
ARID4B,MISC
ARID5A,MISC
ARIH1,MISC
ARIH2,MISC
ARL1,MISC
ARL10,MISC
ARL11,MISC
ARL13B,MISC
ARL14,MISC
ARL14EP,MISC
ARL14EPL,MISC
ARL15,MISC
ARL2,MISC
ARL2BP,MISC
ARL3,MISC
ARL4A,MISC
ARL5A,MISC
ARL5B,MISC
ARL6IP1,MISC
ARL6IP6,MISC
ARL8B,MISC
ARMC1,MISC
ARMC10,MISC
ARMC2,MISC
ARMC5,MISC
ARMC7,MISC
ARMC9,MISC
ARMCX1,MISC
ARMCX3,MISC
ARMCX5,MISC
ARMCX6,MISC
ARNT,MISC
ARNTL,MISC
ARPC1A,MISC
ARPC2,MISC
ARPC3,MISC
ARPC4,MISC
ARPC5,MISC
ARPP19,MISC
ARRB1,MISC
ARRB2,MISC
ARRDC4,MISC
ARSB,MISC
ARSK,MISC
ART3,MISC
ARTN,MISC
ARV1,MISC
AS3MT,MISC
ASAH1,MISC
