gene,cancer_type
ANXA13,KICH
ANXA2,KICH
ANXA2R,KICH
ANXA3,KICH
ANXA8,KICH
ANXA8L2,KICH
AOAH,KICH
AP1AR,KICH
AP1B1,KICH
AP1G1,KICH
AP1M2,KICH
AP1S2,KICH
AP2A1,KICH
AP2B1,KICH
AP2M1,KICH
AP2S1,KICH
AP3B1,KICH
AP3M1,KICH
AP3M2,KICH
AP3S1,KICH
AP4S1,KICH
AP5M1,KICH
APBA1,KICH
APBA2,KICH
APBB1IP,KICH
APC,KICH
APC2,KICH
APCS,KICH
APEX1,KICH
APEX2,KICH
APH1A,KICH
APH1B,KICH
API5,KICH
APIP,KICH
APITD1,KICH
APITD1-CORT,KICH
APLP1,KICH
APLP2,KICH
APMAP,KICH
APOBEC3A,KICH
APOBEC3D,KICH
APOBEC4,KICH
APOC2,KICH
APOE,KICH
APOH,KICH
APOL2,KICH
APOOL,KICH
APPBP2,KICH
APPL2,KICH
APRT,KICH
APTX,KICH
AQP1,KICH
AQP10,KICH
AQP12B,KICH
AQP7,KICH
AQP9,KICH
AQR,KICH
AR,KICH
ARAP1,KICH
ARAP2,KICH
ARCN1,KICH
ARF1,KICH
ARF3,KICH
ARF4,KICH
ARF6,KICH
ARFGAP1,KICH
ARFGEF1,KICH
ARFIP1,KICH
ARFRP1,KICH
ARGLU1,KICH
ARHGAP1,KICH
ARHGAP11A,KICH
ARHGAP11B,KICH
ARHGAP19,KICH
ARHGAP21,KICH
ARHGAP24,KICH
ARHGAP26,KICH
ARHGAP29,KICH
ARHGAP30,KICH
ARHGAP35,KICH
ARHGAP5,KICH
ARHGAP6,KICH
ARHGAP8,KICH
ARHGDIB,KICH
ARHGEF11,KICH
ARHGEF12,KICH
ARHGEF2,KICH
ARHGEF25,KICH
ARHGEF3,KICH
ARHGEF33,KICH
ARHGEF35,KICH
ARHGEF38,KICH
ARHGEF5,KICH
ARHGEF7,KICH
ARHGEF9,KICH
ARID1A,KICH
ARID1B,KICH
ARID2,KICH
ARID3A,KICH
ARID3B,KICH
ARID4A,KICH
ARID4B,KICH
ARID5A,KICH
ARIH1,KICH
ARIH2,KICH
ARL1,KICH
ARL10,KICH
ARL11,KICH
ARL13B,KICH
ARL14,KICH
ARL14EP,KICH
ARL14EPL,KICH
ARL15,KICH
ARL2,KICH
ARL2BP,KICH
ARL3,KICH
ARL4A,KICH
ARL5A,KICH
ARL5B,KICH
ARL6IP1,KICH
ARL6IP6,KICH
ARL8B,KICH
ARMC1,KICH
ARMC10,KICH
ARMC2,KICH
ARMC5,KICH
ARMC7,KICH
ARMC9,KICH
ARMCX1,KICH
ARMCX3,KICH
ARMCX5,KICH
ARMCX6,KICH
ARNT,KICH
ARNTL,KICH
ARPC1A,KICH
ARPC2,KICH
ARPC3,KICH
ARPC4,KICH
ARPC5,KICH
ARPP19,KICH
ARRB1,KICH
ARRB2,KICH
ARRDC4,KICH
ARSB,KICH
ARSK,KICH
ART3,KICH
ARTN,KICH
ARV1,KICH
AS3MT,KICH
ASAH1,KICH
ASB17,KICH
ASB3,KICH
ASB6,KICH
ASB7,KICH
ASCC1,KICH
ASCC3,KICH
ASCL1,KICH
ASCL2,KICH
ASF1A,KICH
ASF1B,KICH
ASH2L,KICH
ASIC1,KICH
ASIP,KICH
ASMT,KICH
ASNA1,KICH
ASNS,KICH
ASNSD1,KICH
ASPDH,KICH
ASPHD2,KICH
ASPM,KICH
ASTL,KICH
ASUN,KICH
ASXL3,KICH
ATAD1,KICH
ATAD2,KICH
ATAD3A,KICH
ATAD5,KICH
ATAT1,KICH
ATF1,KICH
ATF2,KICH
ATF4,KICH
ATF5,KICH
ATF6,KICH
ATF7,KICH
ATF7IP,KICH
ATG10,KICH
ATG12,KICH
ATG13,KICH
ATG14,KICH
ATG2B,KICH
ATG3,KICH
ATG4C,KICH
ATG5,KICH
ATG9A,KICH
ATHL1,KICH
ATIC,KICH
ATL1,KICH
ATL2,KICH
ATL3,KICH
ATM,KICH
ATMIN,KICH
ATOH1,KICH
ATOX1,KICH
ATP10A,KICH
ATP10D,KICH
ATP11B,KICH
ATP11C,KICH
ATP13A1,KICH
ATP1A1,KICH
ATP1B1,KICH
ATP1B3,KICH
ATP2A2,KICH
ATP2B1,KICH
ATP2B4,KICH
ATP2C1,KICH
ATP5A1,KICH
ATP5B,KICH
ATP5C1,KICH
ATP5D,KICH
ATP5F1,KICH
ATP5G1,KICH
ATP5G2,KICH
ATP5H,KICH
ATP5I,KICH
ATP5J,KICH
ATP5J2,KICH
ATP5J2-PTCD1,KICH
ATP5L,KICH
ATP5L2,KICH
ATP5O,KICH
ATP5SL,KICH
ATP6AP1,KICH
ATP6AP1L,KICH
ATP6AP2,KICH
ATP6V0A1,KICH
ATP6V0B,KICH
ATP6V0C,KICH
ATP6V0D1,KICH
ATP6V0D2,KICH
ATP6V0E1,KICH
ATP6V0E2,KICH
ATP6V1A,KICH
ATP6V1B2,KICH
ATP6V1C1,KICH
ATP6V1D,KICH
ATP6V1E1,KICH
ATP6V1F,KICH
ATP6V1G1,KICH
ATP6V1G3,KICH
ATP6V1H,KICH
ATP7A,KICH
ATP8A1,KICH
ATP8A2,KICH
ATP8B2,KICH
ATPAF2,KICH
ATPIF1,KICH
ATR,KICH
ATRIP,KICH
ATRN,KICH
ATRX,KICH
ATXN10,KICH
ATXN2L,KICH
ATXN3L,KICH
ATXN7,KICH
ATXN7L3,KICH
ATXN7L3B,KICH
AUP1,KICH
AURKA,KICH
AURKAIP1,KICH
AURKB,KICH
AUTS2,KICH
AVEN,KICH
AVIL,KICH
AVP,KICH
AVPR1A,KICH
AXDND1,KICH
AXIN2,KICH
AZGP1,KICH
AZI2,KICH
AZIN1,KICH
B3GALNT1,KICH
B3GALT4,KICH
B3GNT2,KICH
B3GNT5,KICH
B3GNT6,KICH
B4GALNT1,KICH
B4GALT3,KICH
B4GALT4,KICH
B4GALT7,KICH
BACH1,KICH
BAG4,KICH
BAI2,KICH
BAK1,KICH
BAMBI,KICH
BANF1,KICH
BANK1,KICH
BANP,KICH
BAP1,KICH
BARD1,KICH
BATF,KICH
BATF2,KICH
BAZ1A,KICH
BAZ1B,KICH
BAZ2B,KICH
BBIP1,KICH
BBS10,KICH
BBS12,KICH
BBS5,KICH
BCAN,KICH
BCAP29,KICH
BCAP31,KICH
BCAR1,KICH
BCAR3,KICH
BCAS1,KICH
BCAS2,KICH
BCAT1,KICH
BCCIP,KICH
BCDIN3D,KICH
BCKDHA,KICH
BCL10,KICH
BCL11B,KICH
BCL2,KICH
BCL2L1,KICH
BCL2L12,KICH
BCL2L15,KICH
BCL2L2-PABPN1,KICH
BCL6,KICH
BCL7C,KICH
BCL9,KICH
BCL9L,KICH
BCLAF1,KICH
BCORL1,KICH
BCS1L,KICH
BDH2,KICH
BDNF,KICH
BDP1,KICH
BECN1,KICH
BEND3,KICH
BET1,KICH
BEX2,KICH
BEX4,KICH
BFAR,KICH
BFSP1,KICH
BGLAP,KICH
BHLHB9,KICH
BHLHE22,KICH
BHLHE40,KICH
BHLHE41,KICH
BHMT,KICH
BICD2,KICH
BID,KICH
BIRC2,KICH
BIRC3,KICH
BIRC5,KICH
BIRC6,KICH
BIRC8,KICH
BIVM,KICH
BLM,KICH
BLOC1S2,KICH
BLOC1S6,KICH
BLVRB,KICH
BLZF1,KICH
BMF,KICH
BMI1,KICH
BMP10,KICH
BMP2K,KICH
BMP3,KICH
BMP4,KICH
BMP5,KICH
BMP8A,KICH
BMP8B,KICH
BMPR1A,KICH
BMPR1B,KICH
BMPR2,KICH
BMS1,KICH
BNC1,KICH
BNC2,KICH
BNIP1,KICH
BNIP2,KICH
BNIP3,KICH
BOD1L1,KICH
BOD1L2,KICH
BOLA3,KICH
BOP1,KICH
BORA,KICH
BPGM,KICH
BPIFC,KICH
BPNT1,KICH
BPTF,KICH
BPY2C,KICH
BRAF,KICH
BRAP,KICH
BRAT1,KICH
BRCA1,KICH
BRCA2,KICH
BRCC3,KICH
BRD1,KICH
BRD2,KICH
BRD4,KICH
BRD7,KICH
BRD8,KICH
BRD9,KICH
BRF1,KICH
BRF2,KICH
BRI3,KICH
BRI3BP,KICH
BRINP2,KICH
BRIP1,KICH
BRIX1,KICH
BRMS1,KICH
BRMS1L,KICH
BRPF1,KICH
BRPF3,KICH
BRS3,KICH
BRWD1,KICH
BRWD3,KICH
BSCL2,KICH
